address,postal_code,country,federal_district,region_type,region,area_type,area,city_type,city,settlement_type,settlement,kladr_id,fias_id,fias_level,capital_marker,okato,oktmo,tax_office,timezone,geo_lat,geo_lon,population,foundation_year
"Амурская обл, г Завитинск",676870,Россия,Дальневосточный,обл,Амурская,р-н,Завитинский,г,Завитинск,,,2800500100000,7b39476f-0edb-4bc3-bb31-6cedfb2aa695,4,1,10221501000,10621101001,2813,UTC+9,50.1064111,129.4391813,11481,1906
"Амурская обл, г Зея",676151,Россия,Дальневосточный,обл,Амурская,,,г,Зея,,,2800000400000,581855f4-f0bc-44a5-a36e-a298279f9ec4,4,0,10412000000,10712000001,2815,UTC+9,53.7340088,127.265787,25042,1879
"Амурская обл, г Райчихинск",676770,Россия,Дальневосточный,обл,Амурская,,,г,Райчихинск,,,2800000200000,981b5f3a-f0b6-444f-a6fb-c2bc10804b31,4,0,10420000000,10720000001,2813,UTC+9,49.7941615,129.4112492,20499,1932
"Амурская обл, г Свободный",676450,Россия,Дальневосточный,обл,Амурская,,,г,Свободный,,,2800000500000,dd560dfa-3feb-48e2-aa3b-b71213e7441e,4,0,10430000000,10730000001,2807,UTC+9,51.3614103,128.1219729,58594,1912
"Амурская обл, г Сковородино",676011,Россия,Дальневосточный,обл,Амурская,р-н,Сковородинский,г,Сковородино,,,2801700100000,260c545f-883c-440a-852c-c39a65fe4104,4,1,10249501000,10649101001,2808,UTC+9,53.9871095,123.9437205,9561,1908
"Амурская обл, г Тында",676280,Россия,Дальневосточный,обл,Амурская,,,г,Тында,,,2800000600000,007e010f-e110-4a55-90a7-c4acac623c9b,4,0,10432000000,10732000001,2808,UTC+9,55.1546441,124.7468904,35574,1907
"Амурская обл, г Циолковский",676470,Россия,Дальневосточный,обл,Амурская,,,г,Циолковский,,,2800001000000,f9ce3255-3f79-4457-919c-d180fa813b6a,4,0,10545000000,10770000001,2807,UTC+9,51.762481,128.1219846,6208,1961
"Амурская обл, г Шимановск",676301,Россия,Дальневосточный,обл,Амурская,,,г,Шимановск,,,2800000700000,809f0591-bb18-40a2-9fac-7d3d0a22c0bf,4,0,10440000000,10740000001,2807,UTC+9,52.0051886,127.7005458,19815,1910
г Архангельск,163000,Россия,Северо-Западный,обл,Архангельская,,,г,Архангельск,,,2900000100000,06814fb6-0dc3-4bec-ba20-11f894a0faf5,4,2,11401000000,11701000001,2901,UTC+3,64.5394289,40.5169606,348716,1584
"Архангельская обл, г Вельск",165150,Россия,Северо-Западный,обл,Архангельская,р-н,Вельский,г,Вельск,,,2900200100000,71051070-fce3-4a4d-a9d9-cd50f6dc6310,4,1,11205501000,11605101001,2907,UTC+3,61.066,42.1032789,23885,1137
"Архангельская обл, г Каргополь",164110,Россия,Северо-Западный,обл,Архангельская,р-н,Каргопольский,г,Каргополь,,,2900600100000,a670f317-f3c4-4dd6-9d27-fa68a8b28b6f,4,1,11218501000,11518000001,2918,UTC+3,61.5009724,38.9636966,10148,1447
"Архангельская обл, г Коряжма",165650,Россия,Северо-Западный,обл,Архангельская,,,г,Коряжма,,,2900000500000,782acb50-ddfa-4483-bcbd-a5e667976036,4,0,11408000000,11708000001,2904,UTC+3,61.2885948,47.1003015,39629,1535
"Архангельская обл, г Котлас",165300,Россия,Северо-Западный,обл,Архангельская,р-н,Котласский,г,Котлас,,,2900800100000,93adb246-540e-40a2-a0fd-e96ca6796589,4,1,11410000000,11710000001,2904,UTC+3,61.2528972,46.633242,60562,1617
"Архангельская обл, г Мезень",164750,Россия,Северо-Западный,обл,Архангельская,р-н,Мезенский,г,Мезень,,,2901200100000,8a49f67f-6c48-4160-bd1d-ebc188a69269,4,1,11242501000,11642101001,2932,UTC+3,65.8398078,44.2532273,3599,1500
"Архангельская обл, г Мирный",164170,Россия,Северо-Западный,обл,Архангельская,,,г,Мирный,,,2900000200000,977c7606-1b37-4424-84f7-b0c66c3e4b94,4,0,11525000000,11725000001,2920,UTC+3,62.7645265,40.3360076,30259,1957
"Архангельская обл, г Новодвинск",164900,Россия,Северо-Западный,обл,Архангельская,,,г,Новодвинск,,,2900000300000,3b0ef6c2-9bcd-44a5-afec-2723bd8190bc,4,0,11415000000,11715000001,2903,UTC+3,64.4136851,40.8208143,40612,1936
"Архангельская обл, г Няндома",164200,Россия,Северо-Западный,обл,Архангельская,р-н,Няндомский,г,Няндома,,,2901300100000,491b0861-0da5-4781-9c2c-521df0ea7af6,4,1,11244501000,11644101001,2918,UTC+3,61.6654674,40.2062947,22354,1898
"Архангельская обл, г Онега",164840,Россия,Северо-Западный,обл,Архангельская,р-н,Онежский,г,Онега,,,2901400100000,53e6ddd5-a1fb-4444-89a4-3952ef6f114b,4,1,11420000000,11646101001,2920,UTC+3,63.9162928,38.0805031,21359,1137
"Архангельская обл, г Северодвинск",164500,Россия,Северо-Западный,обл,Архангельская,,,г,Северодвинск,,,2900000400000,32747c72-c08b-4440-b340-91f48d72f9db,4,0,11430000000,11730000001,2932,UTC+3,64.5625385,39.8180934,192265,1936
"Архангельская обл, Котласский р-н, г Сольвычегодск",165330,Россия,Северо-Западный,обл,Архангельская,р-н,Котласский,г,Сольвычегодск,,,2900800300000,a56a44ee-f79d-4e51-b219-c3c828c7e0c0,4,0,11227504000,11627104001,2904,UTC+3,61.3319616,46.920441,2460,1492
"Архангельская обл, г Шенкурск",165160,Россия,Северо-Западный,обл,Архангельская,р-н,Шенкурский,г,Шенкурск,,,2901900100000,74a26d75-38a6-485a-9468-52dd7c6711fa,4,1,11258501000,11658101001,2907,UTC+3,62.1057272,42.8996973,5702,1137
г Астрахань,414000,Россия,Южный,обл,Астраханская,,,г,Астрахань,,,3000000100000,a101dd8b-3aee-4bda-9c61-9df106f145ff,4,2,12401000000,12701000001,3000,UTC+4,46.3655652,48.0559236,520662,1558
"Астраханская обл, г Ахтубинск",416500,Россия,Южный,обл,Астраханская,р-н,Ахтубинский,г,Ахтубинск,,,3000200100000,8d7acd62-cef4-4d5c-8057-644ee454ce6c,4,1,12205501000,12605101001,3022,UTC+4,48.2752034,46.1906462,41898,1768
"Астраханская обл, г Знаменск",416540,Россия,Южный,обл,Астраханская,,,г,Знаменск,,,3000000200000,54ecd5a8-83d9-4a85-ae2c-6fe6976ab716,4,0,12519000000,12719000001,3022,UTC+4,48.5866291,45.7368019,29357,1948
"Астраханская обл, г Камызяк",416340,Россия,Южный,обл,Астраханская,р-н,Камызякский,г,Камызяк,,,3000600100000,bc643e13-dcc5-4fa4-8cb1-94f71c5c18f4,4,1,12225501000,12625101001,3023,UTC+4,46.110579,48.07333,16291,1560
"Астраханская обл, г Нариманов",416111,Россия,Южный,обл,Астраханская,р-н,Наримановский,г,Нариманов,,,3000900100000,46ce55dd-e3e2-4c31-ab3c-273423c2f782,4,1,12240501000,12640101001,3023,UTC+4,46.6916565,47.8502476,11386,1963
"Астраханская обл, г Харабали",416010,Россия,Южный,обл,Астраханская,р-н,Харабалинский,г,Харабали,,,3001100100000,08373220-e187-4094-82de-b8e0864c5f38,4,1,12245501000,12645101001,3022,UTC+4,47.408999,47.2525345,18209,1789
"Респ Башкортостан, г Агидель",452920,Россия,Приволжский,Респ,Башкортостан,,,г,Агидель,,,0200000200000,8294b97c-7553-499e-8369-821d6eb0fdc7,4,0,80403000000,80703000001,0264,UTC+5,55.8999056,53.9220144,16365,1980
"Респ Башкортостан, г Баймак",453630,Россия,Приволжский,Респ,Башкортостан,р-н,Баймакский,г,Баймак,,,0200600100000,874d4c58-31cd-4309-80db-8f14863efdbb,4,1,80404000000,80606101001,0267,UTC+5,52.5912896,58.3110998,17710,1850
"Респ Башкортостан, г Белебей",452000,Россия,Приволжский,Респ,Башкортостан,р-н,Белебеевский,г,Белебей,,,0200900100000,11e85c3e-c276-43b3-94e8-6b7f6cde5ac1,4,1,80405000000,80609101001,0269,UTC+5,54.1034582,54.1113129,60183,1757
"Респ Башкортостан, г Белорецк",453500,Россия,Приволжский,Респ,Башкортостан,р-н,Белорецкий,г,Белорецк,,,0201100100000,dd65b1de-c076-4126-9b56-c4b4979e2b0f,4,1,80410000000,80611101001,0256,UTC+5,53.9676488,58.4100419,68804,1762
"Респ Башкортостан, г Бирск",452450,Россия,Приволжский,Респ,Башкортостан,р-н,Бирский,г,Бирск,,,0201300100000,8c049a5c-f080-4052-93a9-89decf401900,4,1,80415000000,80613101001,0277,UTC+5,55.4155753,55.5582214,41637,1663
"Респ Башкортостан, г Благовещенск",453430,Россия,Приволжский,Респ,Башкортостан,р-н,Благовещенский,г,Благовещенск,,,0201500100000,da7ef573-cdbe-458e-a790-b29ad3a3d140,4,1,80417000000,80615101001,0277,UTC+5,55.0499867,55.9553186,34246,1756
"Респ Башкортостан, г Давлеканово",453400,Россия,Приволжский,Респ,Башкортостан,р-н,Давлекановский,г,Давлеканово,,,0205900100000,d820f602-8763-4f63-be89-10077a2f025b,4,1,80419000000,80622101001,0273,UTC+5,54.2226707,55.0312373,24040,1730
"Респ Башкортостан, г Дюртюли",452320,Россия,Приволжский,Респ,Башкортостан,р-н,Дюртюлинский,г,Дюртюли,,,0206000100000,d4ac608f-5096-4529-bab2-68a26c64272e,4,1,80418000000,80624101001,0278,UTC+5,55.4848318,54.8524765,31272,1795
"Респ Башкортостан, г Ишимбай",453200,Россия,Приволжский,Респ,Башкортостан,р-н,Ишимбайский,г,Ишимбай,,,0202600100000,b3d2e10f-752d-4b90-b54b-9d6545f38ae0,4,1,80420000000,80631101001,0261,UTC+5,53.4545764,56.0438751,66259,1932
"Респ Башкортостан, г Кумертау",453300,Россия,Приволжский,Респ,Башкортостан,,,г,Кумертау,,,0200000700000,48e38991-07fd-4aaa-b240-a7280e4a823f,4,0,80423000000,80723000001,0261,UTC+5,52.7564939,55.7970197,62854,1947
"Респ Башкортостан, г Межгорье",453570,Россия,Приволжский,Респ,Башкортостан,,,г,Межгорье,,,0200000800000,5fd3a551-8553-4571-bfc8-2bfb211686f5,4,0,80507000000,80707000001,0256,UTC+5,54.2397689,57.9614547,17353,1979
"Респ Башкортостан, г Мелеуз",453853,Россия,Приволжский,Респ,Башкортостан,р-н,Мелеузовский,г,Мелеуз,,,0203500100000,c516337d-f590-439b-83ad-6f15a9325740,4,1,80425000000,80641101001,0261,UTC+5,52.9589532,55.9282838,61408,1766
"Респ Башкортостан, г Нефтекамск",452680,Россия,Приволжский,Респ,Башкортостан,,,г,Нефтекамск,,,0200000300000,2c9997d2-ce94-431a-96c9-722d2238d5c8,4,0,80427000000,80727000001,0264,UTC+5,56.088377,54.2483061,121757,1957
"Респ Башкортостан, г Октябрьский",452601,Россия,Приволжский,Респ,Башкортостан,,,г,Октябрьский,,,0200000400000,abd1bc35-ec51-437a-abee-76a4f620f662,4,0,80435000000,80735000001,0269,UTC+5,54.4815311,53.4655972,109379,1937
"Респ Башкортостан, г Салават",453250,Россия,Приволжский,Респ,Башкортостан,,,г,Салават,,,0200000500000,fc14353f-5a1d-4f22-94ea-b900bad9a9f1,4,0,80439000000,80739000001,0261,UTC+5,53.3616974,55.9245224,156085,1948
"Респ Башкортостан, г Сибай",453830,Россия,Приволжский,Респ,Башкортостан,,,г,Сибай,,,0200000600000,d7825646-76f7-4322-a88c-42cc90cbd2b2,4,0,80443000000,80743000001,0267,UTC+5,52.7204651,58.6663783,62732,1925
"Респ Башкортостан, г Стерлитамак",453100,Россия,Приволжский,Респ,Башкортостан,,,г,Стерлитамак,,,0200001400000,84e0b23d-82fe-40a8-8739-55e679780dc3,4,1,80445000000,80745000001,0268,UTC+5,53.6300864,55.9317089,273432,1766
"Респ Башкортостан, г Туймазы",452750,Россия,Приволжский,Респ,Башкортостан,р-н,Туймазинский,г,Туймазы,,,0204400100000,511a0136-f60c-451b-a2eb-3402103f1223,4,1,80450000000,80651101001,0269,UTC+5,54.5999224,53.6950623,66849,1912
г Уфа,450000,Россия,Приволжский,Респ,Башкортостан,,,г,Уфа,,,0200000100000,7339e834-2cb4-4734-a4c7-1fca2c66e562,4,2,80401000000,80701000001,0200,UTC+5,54.734944,55.9578468,1062300,1574
"Респ Башкортостан, г Учалы",453700,Россия,Приволжский,Респ,Башкортостан,р-н,Учалинский,г,Учалы,,,0204600100000,7b2b052a-49df-4aff-a36f-fb82957da2ea,4,1,80455000000,80653101001,0256,UTC+5,54.3067375,59.4125461,37771,1750
"Респ Башкортостан, г Янаул",452800,Россия,Приволжский,Респ,Башкортостан,р-н,Янаульский,г,Янаул,,,0205200100000,21de303b-205d-4d37-81c9-63d10246e1af,4,1,80460000000,80659101001,0264,UTC+5,56.2650146,54.929907,26988,1730
"Белгородская обл, г Алексеевка",309850,Россия,Центральный,обл,Белгородская,р-н,Алексеевский,г,Алексеевка,,,3100200100000,94969f84-fff4-4ddf-9677-b912b4b2aa3e,4,1,14410000000,14710000001,3122,UTC+3,50.6299647,38.6880342,39026,1685
г Белгород,308000,Россия,Центральный,обл,Белгородская,,,г,Белгород,,,3100000100000,02e9c019-ab4d-4fa0-928e-d6c0a41dc256,4,2,14401000000,14701000001,3123,UTC+3,50.5976472,36.5856652,356426,1596
"Белгородская обл, г Бирюч",309920,Россия,Центральный,обл,Белгородская,р-н,Красногвардейский,г,Бирюч,,,3101200100000,eaaf5809-d1e2-4d93-8f05-85dd598cc403,4,1,14242501000,14642151001,3122,UTC+3,50.6484585,38.4005083,7842,1705
"Белгородская обл, г Валуйки",309990,Россия,Центральный,обл,Белгородская,р-н,Валуйский,г,Валуйки,,,3100400100000,fe7eea4a-875a-4235-aa61-81c2a37a0440,4,1,14420000000,14720000001,3126,UTC+3,50.2111207,38.0998772,35322,1593
"Белгородская обл, г Грайворон",309370,Россия,Центральный,обл,Белгородская,р-н,Грайворонский,г,Грайворон,,,3100700100000,51c31ef5-10b3-4011-8e1c-7e7d452afd1b,4,1,14232501000,14725000001,3116,UTC+3,50.4862958,35.6663877,6234,1678
"Белгородская обл, г Губкин",309180,Россия,Центральный,обл,Белгородская,,,г,Губкин,,,3100000400000,98b1ec30-6107-4f99-ae3a-9d82492f30a1,4,1,14430000000,14730000001,3127,UTC+3,51.2837123,37.5347759,88562,1939
"Белгородская обл, г Короча",309210,Россия,Центральный,обл,Белгородская,р-н,Корочанский,г,Короча,,,3101000100000,76fecead-fc02-459a-bce4-848698e645fe,4,1,14240501000,14640101001,3120,UTC+3,50.8129041,37.1896436,5877,1637
"Белгородская обл, г Новый Оскол",309640,Россия,Центральный,обл,Белгородская,р-н,Новооскольский,г,Новый Оскол,,,3101400100000,f565b329-4041-4fd2-aa0a-debd5f7c3857,4,1,14244501000,14735000001,3114,UTC+3,50.7633747,37.8775484,19530,1637
"Белгородская обл, г Старый Оскол",309500,Россия,Центральный,обл,Белгородская,,,г,Старый Оскол,,,3100000200000,9f5e86b1-b893-43dc-9dd4-ac66573b17d1,4,1,14440000000,14740000001,3128,UTC+3,51.2967101,37.8350182,221163,1593
"Белгородская обл, г Строитель",309070,Россия,Центральный,обл,Белгородская,р-н,Яковлевский,г,Строитель,,,3102100100000,19c9f6de-45cd-4c76-9839-abd571698ced,4,1,14258501000,14755000001,3130,UTC+3,50.7845099,36.4887648,23933,1958
"Белгородская обл, г Шебекино",309290,Россия,Центральный,обл,Белгородская,,,г,Шебекино,,,3100000300000,dc80ddf0-b1ac-4344-98e8-fcfa5295a0a3,4,1,14450000000,14750000001,3120,UTC+3,50.4004883,36.8877889,44277,1713
г Брянск,241000,Россия,Центральный,обл,Брянская,,,г,Брянск,,,3200000100000,414b71cf-921e-4bfc-b6e0-f7395d16aaef,4,2,15401000000,15701000001,3200,UTC+3,53.2419535,34.3652146,415640,985
"Брянская обл, г Дятьково",242600,Россия,Центральный,обл,Брянская,р-н,Дятьковский,г,Дятьково,,,3200600100000,fd37b6f0-2406-41ca-86bc-57dd58fd71f4,4,1,15216501000,15616104001,3245,UTC+3,53.5958178,34.3551812,29438,1626
"Брянская обл, г Жуковка",242700,Россия,Центральный,обл,Брянская,р-н,Жуковский,г,Жуковка,,,3200800100000,bd51e883-748a-4c55-ac0a-eee31be1433e,4,1,15222501000,15502000001,3245,UTC+3,53.5340397,33.7302579,18269,1871
"Брянская обл, г Злынка",243600,Россия,Центральный,обл,Брянская,р-н,Злынковский,г,Злынка,,,3200900100000,9491aba8-fbc1-4da8-8ede-8d49690c393a,4,1,15223501000,15623101001,3241,UTC+3,52.4267015,31.7360399,5507,1702
"Брянская обл, г Карачев",242500,Россия,Центральный,обл,Брянская,р-н,Карачевский,г,Карачев,,,3201000100000,6f39b866-1fed-4add-aa00-e76992516660,4,1,15224501000,15624101001,3245,UTC+3,53.1296524,34.9888727,19715,1146
"Брянская обл, г Клинцы",243140,Россия,Центральный,обл,Брянская,,,г,Клинцы,,,3200000300000,59cb1f1f-16f9-47eb-9487-14a6c00e8621,4,0,15415000000,15715000001,3200,UTC+3,52.7529119,32.233911,62510,1707
"Брянская обл, г Мглин",243220,Россия,Центральный,обл,Брянская,р-н,Мглинский,г,Мглин,,,3201600100000,a4162075-13cb-4f4a-9974-ef042c8be149,4,1,15236501000,15636101001,3253,UTC+3,53.0599771,32.8468129,7916,1387
"Брянская обл, г Новозыбков",243020,Россия,Центральный,обл,Брянская,,,г,Новозыбков,,,3200000400000,cf4dd9d7-d152-4140-bed2-59d8be5a4e2c,4,0,15420000000,15720000001,3241,UTC+3,52.537173,31.9357991,40552,1701
"Брянская обл, г Почеп",243400,Россия,Центральный,обл,Брянская,р-н,Почепский,г,Почеп,,,3202000100000,434c6101-648e-4266-8aca-bbbc80856d7a,4,1,15244501000,15644101001,3252,UTC+3,52.9154851,33.4744058,17933,1447
"Брянская обл, г Севск",242440,Россия,Центральный,обл,Брянская,р-н,Севский,г,Севск,,,3202200100000,263c5f6f-335b-4cfa-a234-3c61488c3729,4,1,15248501000,15648101001,3245,UTC+3,52.1483358,34.4918415,7282,1146
"Брянская обл, г Сельцо",241550,Россия,Центральный,обл,Брянская,,,г,Сельцо,,,3200000200000,485f4c4d-aced-4b94-b975-88e72b7dcb72,4,0,15425000000,15725000001,3245,UTC+3,53.3739884,34.1059172,17933,1870
"Брянская обл, г Стародуб",243240,Россия,Центральный,обл,Брянская,,,г,Стародуб,,,3200000600000,78e19000-cb0d-4e86-8205-242ee9de9e75,4,1,15250501000,15501000001,3253,UTC+3,52.5852257,32.760403,19010,1080
"Брянская обл, г Сураж",243500,Россия,Центральный,обл,Брянская,р-н,Суражский,г,Сураж,,,3202500100000,565317d8-daf3-4df1-bf3d-6703b0d1500f,4,1,15254501000,15654101001,3253,UTC+3,53.0170888,32.3938878,11640,1600
"Брянская обл, г Трубчевск",242220,Россия,Центральный,обл,Брянская,р-н,Трубчевский,г,Трубчевск,,,3202600100000,7c080d22-1f3c-43b0-ba63-1e7de99724c9,4,1,15256501000,15656101001,3252,UTC+3,52.5791734,33.7660547,15014,975
"Брянская обл, г Унеча",243300,Россия,Центральный,обл,Брянская,р-н,Унечский,г,Унеча,,,3202700100000,6a2d5db9-1871-4f1d-b226-bbc6b8400a44,4,1,15258501000,15658101001,3253,UTC+3,52.8461199,32.6757629,26196,1887
"Брянская обл, г Фокино",242610,Россия,Центральный,обл,Брянская,,,г,Фокино,,,3200000500000,8d7c89e7-d9b9-4d7a-907c-a654b3a4d23d,4,0,15216504000,15710000001,3245,UTC+3,53.4554145,34.4159238,13874,1899
"Респ Бурятия, Кабанский р-н, г Бабушкин",671230,Россия,Дальневосточный,Респ,Бурятия,р-н,Кабанский,г,Бабушкин,,,0300900200000,519731a7-aace-435a-9a1c-1d0051ab7913,4,0,81224503000,81624103001,0309,UTC+8,51.7112755,105.8673219,4542,1760
"Респ Бурятия, г Гусиноозерск",671160,Россия,Дальневосточный,Респ,Бурятия,р-н,Селенгинский,г,Гусиноозерск,,,0301800100000,30e1ab6c-4ee2-45ce-934a-c3435a015c29,4,1,81248501000,81648101001,0309,UTC+8,51.2865048,106.5230319,23280,1939
"Респ Бурятия, г Закаменск",671950,Россия,Дальневосточный,Респ,Бурятия,р-н,Закаменский,г,Закаменск,,,0300700100000,0602f259-5de5-48e0-8a2c-427a5e0aef82,4,1,81221501000,81621101001,0309,UTC+8,50.372713,103.286699,11249,1934
"Респ Бурятия, г Кяхта",671840,Россия,Дальневосточный,Респ,Бурятия,р-н,Кяхтинский,г,Кяхта,,,0301200100000,5ef858d8-f7e6-4ea9-8276-53a25672bf9f,4,1,81233501000,81633101001,0309,UTC+8,50.346543,106.4533516,20013,1727
"Респ Бурятия, г Северобайкальск",671700,Россия,Дальневосточный,Респ,Бурятия,,,г,Северобайкальск,,,0300000200000,c4ea4370-0720-40a3-9df6-dd8ccf354d15,4,0,81420000000,81720000001,0309,UTC+8,55.635614,109.3361505,23673,1974
г Улан-Удэ,670000,Россия,Дальневосточный,Респ,Бурятия,,,г,Улан-Удэ,,,0300000100000,9fdcc25f-a3d0-4f28-8b61-40648d099065,4,2,81401000000,81701000001,0300,UTC+8,51.8335853,107.5842223,431922,1666
"Владимирская обл, г Александров",601650,Россия,Центральный,обл,Владимирская,р-н,Александровский,г,Александров,,,3300200100000,59e55956-69a2-432f-b880-74cf8ec0b9fe,4,1,17205501000,17605101001,3339,UTC+3,56.391819,38.7111123,61544,1300
г Владимир,600000,Россия,Центральный,обл,Владимирская,,,г,Владимир,,,3300000100000,f66a00e6-179e-4de9-8ecb-78b0277c9f10,4,2,17401000000,17701000001,3300,UTC+3,56.1280804,40.4084376,348256,990
"Владимирская обл, г Вязники",601440,Россия,Центральный,обл,Владимирская,р-н,Вязниковский,г,Вязники,,,3300300100000,0114e0c6-4060-4473-bc44-779e5a85e9dd,4,1,17210501000,17610101001,3332,UTC+3,56.29773,42.2687398,41252,1608
"Владимирская обл, г Гороховец",601480,Россия,Центральный,обл,Владимирская,р-н,Гороховецкий,г,Гороховец,,,3300400100000,e3bc9262-6bcf-42f8-a0bd-a8a00def58bc,4,1,17215501000,17615101001,3332,UTC+3,56.2021036,42.6926111,14015,1158
"Владимирская обл, г Гусь-Хрустальный",601500,Россия,Центральный,обл,Владимирская,,,г,Гусь-Хрустальный,,,3300000300000,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,4,0,17420000000,17720000001,3304,UTC+3,55.6198751,40.6579929,60773,1756
"Владимирская обл, г Камешково",601300,Россия,Центральный,обл,Владимирская,р-н,Камешковский,г,Камешково,,,3300600100000,13cf312e-735f-4faa-8a7d-9a2622d50438,4,1,17225501000,17625101001,3340,UTC+3,56.3490152,40.9955183,13113,1892
"Владимирская обл, Александровский р-н, г Карабаново",601640,Россия,Центральный,обл,Владимирская,р-н,Александровский,г,Карабаново,,,3300200200000,4f178a20-53a7-4032-b62b-7337315e0fc1,4,0,17205505000,17605105001,3339,UTC+3,56.3131822,38.7034257,14868,1630
"Владимирская обл, г Киржач",601010,Россия,Центральный,обл,Владимирская,р-н,Киржачский,г,Киржач,,,3300700100000,115db243-1238-412f-a2a1-6d53ef30ba9e,4,1,17230501000,17630101001,3316,UTC+3,56.1486863,38.8635701,30044,1332
"Владимирская обл, г Ковров",601900,Россия,Центральный,обл,Владимирская,,,г,Ковров,,,3300000400000,0b4978e2-e64c-4db1-b84d-93cf34bdb04b,4,0,17425000000,17725000001,3332,UTC+3,56.3554349,41.3170576,145492,1100
